method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed,env_type
弱光-Greedy纯视觉,525,0.26,13,37,4,3.44,0,420,0,600,弱光-Greedy纯视觉
弱光-Greedy纯视觉,517,0.28,14,36,3,1.3599999999999999,0,400,0,11,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.36,18,32,3,10.16,0,440,0,22,弱光-Greedy纯视觉
弱光-Greedy纯视觉,473,0.5,25,25,3,14.559999999999999,0,360,0,33,弱光-Greedy纯视觉
弱光-Greedy纯视觉,550,0.34,17,33,9,3.4400000000000004,0,440,0,44,弱光-Greedy纯视觉
弱光-Greedy纯视觉,547,0.44,22,28,27,13.84,0,420,0,55,弱光-Greedy纯视觉
弱光-Greedy纯视觉,519,0.3,15,35,2,2.96,0,400,0,66,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.38,19,31,60,2.16,0,440,0,77,弱光-Greedy纯视觉
弱光-Greedy纯视觉,535,0.32,16,34,1,3.7600000000000002,0,420,0,88,弱光-Greedy纯视觉
弱光-Greedy纯视觉,508,0.24,12,38,20,2.64,0,400,0,99,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.42,21,29,2,11.84,0,440,0,111,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.16,8,42,6,0.64,0,440,0,1000,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.36,18,32,8,3.44,0,440,0,2000,弱光-Greedy纯视觉
弱光-Greedy纯视觉,543,0.16,8,42,39,3.7600000000000007,0,420,0,3000,弱光-Greedy纯视觉
弱光-Greedy纯视觉,543,0.26,13,37,2,12.639999999999999,0,420,0,4000,弱光-Greedy纯视觉
弱光-Greedy纯视觉,541,0.38,19,31,22,19.839999999999996,0,420,0,5000,弱光-Greedy纯视觉
弱光-Greedy纯视觉,518,0.26,13,37,59,7.760000000000001,0,400,0,6000,弱光-Greedy纯视觉
弱光-Greedy纯视觉,540,0.34,17,33,30,10.24,0,420,0,7000,弱光-Greedy纯视觉
弱光-Greedy纯视觉,528,0.22,11,39,61,7.839999999999999,0,420,0,8000,弱光-Greedy纯视觉
弱光-Greedy纯视觉,531,0.18,9,41,4,2.6399999999999997,0,420,0,9000,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.38,19,31,1,8.8,0,440,0,9999,弱光-Greedy纯视觉
