method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed,n_robots,base_method
Greedy N=5,556,0.7,35,15,2,26.96,0,440,0,400,5,Greedy
Greedy N=5,290,0.74,37,13,3,10.24,0,220,0,500,5,Greedy
Greedy N=5,217,0.84,42,8,1,14.959999999999999,0,160,0,600,5,Greedy
Greedy N=5,183,0.88,44,6,1,25.2,0,140,0,11,5,Greedy
Greedy N=5,403,0.62,31,19,4,38.56,0,320,0,22,5,Greedy
Greedy N=5,196,0.94,47,3,1,41.04,0,140,0,33,5,Greedy
Greedy N=5,88,0.96,48,2,9,59.04,0,60,0,44,5,Greedy
Greedy N=5,197,0.96,48,2,4,45.35999999999999,0,140,0,55,5,Greedy
Greedy N=5,425,0.8,40,10,1,29.439999999999998,0,340,0,66,5,Greedy
Greedy N=5,376,0.8,40,10,1,28.560000000000002,0,300,0,77,5,Greedy
Greedy N=5,159,0.94,47,3,1,51.839999999999996,0,120,0,88,5,Greedy
Greedy N=5,283,0.86,43,7,10,27.839999999999996,0,220,0,99,5,Greedy
Greedy N=5,165,0.92,46,4,1,39.84,0,120,0,111,5,Greedy
Greedy N=5,120,0.94,47,3,5,37.36,0,80,0,1000,5,Greedy
Greedy N=5,262,0.84,42,8,4,20.8,0,200,0,2000,5,Greedy
Greedy N=5,342,0.76,38,12,10,11.84,0,260,0,3000,5,Greedy
Greedy N=5,168,0.9,45,5,1,13.84,0,120,0,4000,5,Greedy
Greedy N=5,321,0.84,42,8,3,29.040000000000003,0,240,0,5000,5,Greedy
Greedy N=5,201,0.96,48,2,3,34.16,0,160,0,6000,5,Greedy
Greedy N=5,173,0.88,44,6,7,36.160000000000004,0,120,0,7000,5,Greedy
Greedy N=5,185,0.8,40,10,1,26.159999999999997,0,140,0,8000,5,Greedy
Greedy N=5,201,0.9,45,5,4,18.160000000000004,0,160,0,9000,5,Greedy
Greedy N=5,280,0.9,45,5,1,23.6,0,220,0,9999,5,Greedy
SCCS N=7,162,0.88,44,6,15,6.693877551020408,0,0,2799,42,7,SCCS
SCCS N=7,238,0.88,44,6,12,7.102040816326531,0,0,4889,123,7,SCCS
SCCS N=7,154,0.98,49,1,6,14.693877551020408,0,0,4141,456,7,SCCS
SCCS N=7,188,0.78,39,11,5,6.530612244897958,0,0,4019,789,7,SCCS
SCCS N=7,181,0.84,42,8,22,8.0,0,0,2856,100,7,SCCS
SCCS N=7,228,0.7,35,15,16,14.77551020408163,0,0,3965,200,7,SCCS
SCCS N=7,156,1.0,50,0,6,5.836734693877551,0,0,4465,300,7,SCCS
SCCS N=7,111,1.0,50,0,3,11.83673469387755,0,0,2226,400,7,SCCS
